"# PDIoT walking data"
"# Start time: 20190922T153148"
"# Group: B"
"# Subject: test2"
"# Activity type: Walking (level ground)"
"# Sensor position: Lower Leg"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 30"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1569162708862","0","-0.9873047","0.09863281","-0.21679688","7.125","8.03125","12.5625"
"1569162708952","1","-0.97753906","0.140625","-0.25","13.40625","7.375","13.34375"
"1569162709161","2","-0.9550781","0.038085938","-0.30273438","4.875","5.0","26.15625"
"1569162709164","3","-0.9277344","0.20214844","-0.23535156","-7.34375","0.59375","15.125"
"1569162709252","4","-0.97753906","0.140625","-0.28515625","-8.25","-2.03125","11.40625"
"1569162709343","5","-0.9355469","0.23144531","-0.22460938","-6.71875","-2.15625","14.9375"
"1569162709462","6","-0.95703125","0.28710938","-0.3046875","-4.84375","0.65625","27.15625"
"1569162709552","7","-1.0234375","0.18652344","-0.20703125","-9.90625","4.0","49.25"
"1569162709642","8","-1.1376953","0.2109375","-0.3046875","12.75","6.21875","97.03125"
"1569162709763","9","-0.78808594","-0.20507812","-0.17382812","67.625","-15.34375","6.625"
"1569162709852","10","-1.0175781","0.109375","-0.2529297","44.53125","-55.25","-124.28125"
"1569162709943","11","-1.2099609","0.13671875","-0.31835938","67.375","-55.125","-147.21875"
"1569162710062","12","-0.9111328","0.27441406","-0.39257812","4.0625","-27.78125","-97.125"
"1569162710152","13","-0.8261719","0.21972656","-0.3486328","-34.0625","17.0","-20.21875"
"1569162710242","14","-1.2734375","0.48535156","-0.06738281","103.8125","27.8125","106.6875"
"1569162710363","15","-0.87890625","0.020507812","-0.18457031","-3.90625","28.5","43.6875"
"1569162710452","16","-0.94433594","0.05859375","-0.3017578","-4.09375","35.5","30.0"
"1569162710541","17","-0.9404297","-0.059570312","-0.33984375","-30.96875","25.8125","36.71875"
"1569162710663","18","-0.9355469","0.171875","-0.3466797","-24.6875","22.8125","53.34375"
"1569162710753","19","-0.92089844","0.20703125","-0.35742188","-28.8125","21.03125","38.375"
"1569162710843","20","-0.9482422","0.15136719","-0.36914062","-22.34375","22.25","63.21875"
"1569162710962","21","-1.1816406","0.32714844","-0.56640625","-27.78125","22.375","106.0"
"1569162711052","22","-1.5117188","0.19140625","-0.28222656","-40.59375","57.59375","148.0625"
"1569162711144","23","-0.6171875","0.46484375","-0.39160156","-28.75","41.71875","143.78125"
"1569162711262","24","-0.40039062","0.26367188","-0.31054688","66.9375","-58.59375","-78.5625"
"1569162711352","25","-0.7792969","0.32910156","-0.34472656","34.71875","-113.0625","-229.5625"
"1569162711443","26","-1.4511719","0.5576172","-0.57128906","62.0625","-89.0625","-287.0"
"1569162711562","27","-0.9013672","0.9277344","-0.7529297","28.0","-40.90625","-164.9375"
"1569162711652","28","-1.4355469","-0.7128906","0.40722656","30.3125","-48.125","-116.71875"
"1569162711742","29","-0.953125","-0.50097656","-0.5644531","-0.4375","32.40625","9.9375"
