seq,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,upper_leg,left_right,pocket,steps
107,-0.11816406,0.96191406,-0.001953125,-35.34375,83.53125,-3.5,1,0,1,10
108,-0.3828125,0.8876953,-0.3779297,28.5625,44.34375,-24.25,1,0,1,10
109,-0.03125,1.0449219,-0.07714844,27.4375,40.03125,-6.53125,1,0,1,10
110,-0.2919922,0.98046875,-0.19335938,-37.125,70.84375,-44.5,1,0,1,10
111,-0.39648438,0.90722656,-0.064453125,-11.78125,26.09375,-16.1875,1,0,1,10
112,-0.21582031,0.9589844,-0.2109375,-3.8125,-5.625,5.84375,1,0,1,10
113,-0.21191406,0.83203125,-0.0703125,5.90625,-2.34375,14.5,1,0,1,10
114,-0.25585938,1.0751953,0,20.75,-38.15625,32.09375,1,0,1,10
115,-0.07128906,1.1474609,-0.041992188,63.21875,44.34375,29.59375,1,0,1,10
116,0.033203125,1.0751953,-0.15527344,11.03125,46.6875,29.28125,1,0,1,10
117,-0.047851562,0.93847656,-0.13183594,-22.21875,6.09375,-14.0625,1,0,1,10
118,0.0078125,0.96972656,-0.16796875,-52.1875,12.625,-10.75,1,0,1,10
119,0.15429688,1.015625,-0.13476562,-19.5,39.71875,38.3125,1,0,1,10
120,0.1484375,0.8779297,-0.032226562,-12.65625,26.03125,-8.6875,1,0,1,10
121,-0.036132812,1.0019531,-0.032226562,-22.15625,-22.71875,-12.65625,1,0,1,10
122,-0.7685547,1.9677734,-0.044921875,14.9375,-38.96875,-231.65625,1,0,1,10
123,0.7705078,0.78515625,-0.14160156,45.03125,39.96875,32.6875,1,0,1,10
124,-0.072265625,1.1201172,-0.21484375,-63.6875,24.59375,14.375,1,0,1,10
125,-0.0390625,0.89160156,-0.044921875,-65.03125,-9.0625,24.9375,1,0,1,10
126,0.10644531,0.9091797,0.008789063,-7.53125,7.96875,-6.125,1,0,1,10
127,0.048828125,1.0185547,0.029296875,9.375,28.375,18.28125,1,0,1,10
128,0.076171875,1.0605469,0.041015625,12.25,-3.90625,6.28125,1,0,1,10
129,0.109375,0.9589844,-0.002929688,20.5,3.15625,19.34375,1,0,1,10
130,0.15625,0.71484375,-0.010742188,10.46875,-6.53125,26.78125,1,0,1,10
131,0.20507812,0.95214844,-0.09863281,10.0625,5.90625,93.5625,1,0,1,10
132,0.3642578,0.9199219,-0.123046875,-15.625,9.625,33.0625,1,0,1,10
133,0.3486328,0.9433594,-0.048828125,-19.1875,7.5,27.15625,1,0,1,10
134,0.41796875,0.9121094,-0.020507812,-6.84375,-0.1875,49.65625,1,0,1,10
135,0.4970703,0.8310547,-0.10058594,-8.1875,3.9375,48.09375,1,0,1,10
