"# PDIoT walking data"
"# Start time: 20191021T172137"
"# Group: NaN"
"# Subject: http://192.168.105.11:5000/index?data="
"# Activity type: NaN"
"# Sensor position: NaN"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 10"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1571674897375","0","-0.20996094","0.9394531","0.24804688","-0.5","2.5","2.71875"
"1571674897496","1","-0.14160156","0.94433594","0.2529297","-2.75","-0.5","0.15625"
"1571674897586","2","-0.14355469","0.9423828","0.22753906","-2.875","0.84375","1.5625"
"1571674897676","3","-0.14941406","0.9375","0.2421875","0.84375","-1.1875","1.15625"
"1571674897796","4","-0.15722656","0.94433594","0.2548828","-0.25","-2.03125","1.625"
"1571674897886","5","-0.15722656","0.94140625","0.24902344","1.375","0.53125","1.875"
"1571674897976","6","-0.15039062","0.93359375","0.25097656","1.8125","5.53125","2.78125"
"1571674898096","7","-0.14355469","0.9423828","0.23535156","2.125","6.6875","3.40625"
"1571674898187","8","-0.13476562","0.94433594","0.23242188","2.0","3.78125","2.96875"
"1571674898278","9","-0.15039062","0.9472656","0.22558594","0.65625","6.46875","2.3125"
"1571674898397","10","-0.12109375","0.9511719","0.22558594","0.53125","2.375","1.875"
"1571674898487","11","-0.12695312","0.9472656","0.22070312","0.59375","-3.25","0.0"
"1571674898578","12","-0.14941406","0.94628906","0.24316406","1.15625","-3.5625","0.21875"
"1571674898697","13","-0.1328125","0.94628906","0.21972656","1.03125","-0.4375","1.03125"
"1571674898786","14","-0.14746094","0.93847656","0.23535156","0.90625","1.625","1.03125"
"1571674898876","15","-0.13769531","0.9423828","0.21679688","0.40625","0.53125","0.53125"
"1571674898996","16","-0.11425781","0.94921875","0.22460938","-1.0625","5.34375","0.78125"
"1571674899088","17","-0.14453125","0.9482422","0.22558594","-0.1875","-0.0625","0.28125"
"1571674899178","18","-0.13476562","0.9375","0.22851562","0.28125","4.5625","1.3125"
"1571674899327","19","-0.13769531","0.94628906","0.21679688","0.21875","2.0","0.65625"
"1571674899386","20","-0.13964844","0.93847656","0.20117188","0.21875","2.25","0.71875"
"1571674899477","21","-0.140625","0.94921875","0.19921875","-0.5","1.625","0.84375"
"1571674899597","22","-0.13378906","0.94433594","0.22558594","-1.0625","0.90625","0.65625"
"1571674899687","23","-0.13085938","0.9404297","0.2109375","-0.5625","3.40625","0.90625"
